chemical	aliases	names	flagged_for_removal
888	DB01378 (DrugBank)	magnesium	1
753	D00028 (KEGG) >> D05073 (KEGG) >> DB04077 (DrugBank)	glycerol	0
312	D01139 (KEGG) >> D02057 (KEGG) >> D03635 (KEGG) >> D04834 (KEGG)	chloride	1
23994	D05950 (KEGG) >> D06408 (KEGG) >> DB01593 (DrugBank)	Zn(II	1
271	DB01373 (DrugBank)	calcium ions	1
5288834	DB03564 (DrugBank) >> DB03684 (DrugBank)	X-4191	0
311	D00037 (KEGG) >> DB04272 (DrugBank)	citric acid	1
78165	DB03814 (DrugBank)	2-(N-morpholino)ethanesulfonic acid	0
8200	DB02575 (DrugBank)	tetraethylene glycol	0
1567	DB03131 (DrugBank) >> DB03345 (DrugBank)	2-mercaptoethanol	1
6503	D00396 (KEGG) >> DB03754 (DrugBank)	Tris-HCl	1
8172	DB02327 (DrugBank)	triethylene glycol	0
283	DB01942 (DrugBank)	carboxy	1
5238	D04874 (KEGG)	iodide	0
679	D01043 (KEGG) >> DB01093 (DrugBank)	DMSO	1
6083	DB00131 (DrugBank 845)	adenosine monophosphate	1
68841	DB04522 (DrugBank)	phospho-serine	1
11213558	DB07159 (DrugBank)	R406 free base	0
3776	D00137 (KEGG) >> DB02325 (DrugBank) >> DB04402 (DrugBank)	isopropanol	1
795	DB03366 (DrugBank)	imidazole	1
943	D02313 (KEGG)	nitrate	0
867	DB02175 (DrugBank) >> DB02201 (DrugBank)	malonate	1
9977819	D08907 (KEGG)	dovitinib	0
5329102	DB01268 (DrugBank 845) >> DB07417 (DrugBank 845)	sunitinib	0
447446	DB08683 (DrugBank)	AC1L9KVE	0
165339	DB01915 (DrugBank) >> DB03398 (DrugBank)	Cys sulfenic acid	1
2513	DB02994 (DrugBank) >> DB04399 (DrugBank)	cacodylate	1
5328940	D09728 (KEGG) >> DB06616 (DrugBank)	bosutinib	0
5330812	DB07664 (DrugBank)	CDK1/2 inhibitor	0
1549097	DB02153 (DrugBank)	L-CSA	1
5329103	DB08009 (DrugBank)	SU11652	0
9809714	D10481 (KEGG)	nintedanib	0
5494449	D08344 (KEGG)	tozasertib	0
42642645	D09618 (KEGG)	Foretinib	0
170018	DB04530 (DrugBank)	L-CySSME	0
8515	DB01782 (DrugBank)	JNK inhibitor II	0
702	DB00898 (DrugBank 845)	ethanol	1
5494425	DB04716 (DrugBank)	JAK inhibitor	0
5957	D02300 (KEGG) >> D08647 (KEGG) >> DB00171 (DrugBank 845)	MgATP	0
72886	DB03661 (DrugBank)	cysteic acid	1
11005	DB08231 (DrugBank)	myristic acid	0
3062316	D06414 (KEGG) >> DB01254 (DrugBank 845)	dasatinib	0
